8330, freemind.controller, LOC, 3615.0, 0, 
13050, freemind.modes.common.listeners, NOMNAMM, 18.0, 0, 
13050, freemind.modes.common.listeners, NOM, 18.0, 0, 
13050, freemind.modes.common.listeners, NOCS, 6.0, 0, 
13050, freemind.modes.common.listeners, NOI, 0.0, 0, 
13081, freemind.modes, LOC, 6037.0, 0, 
13081, freemind.modes, NOMNAMM, 523.0, 0, 
13081, freemind.modes, NOM, 728.0, 0, 
13081, freemind.modes, NOCS, 34.0, 0, 
13081, freemind.modes, NOI, 11.0, 0, 
13910, freemind.controller.filter.condition, LOC, 906.0, 0, 
13910, freemind.controller.filter.condition, NOMNAMM, 82.0, 0, 
13910, freemind.controller.filter.condition, NOM, 90.0, 0, 
13910, freemind.controller.filter.condition, NOCS, 17.0, 0, 
13910, freemind.controller.filter.condition, NOI, 1.0, 0, 
14020, freemind.main, LOC, 8258.0, 0, 
14020, freemind.main, NOMNAMM, 388.0, 0, 
14020, freemind.main, NOM, 437.0, 0, 
14020, freemind.main, NOCS, 50.0, 0, 
14020, freemind.main, NOI, 3.0, 0, 
14617, de.foltin, LOC, 658.0, 0, 
14617, de.foltin, NOMNAMM, 10.0, 0, 
14617, de.foltin, NOM, 10.0, 0, 
14617, de.foltin, NOCS, 13.0, 0, 
14617, de.foltin, NOI, 0.0, 0, 
14676, freemind.preferences, LOC, 8.0, 0, 
14676, freemind.preferences, NOMNAMM, 2.0, 0, 
14676, freemind.preferences, NOM, 2.0, 0, 
14676, freemind.preferences, NOCS, 0.0, 0, 
14676, freemind.preferences, NOI, 2.0, 0, 
14681, plugins.script, LOC, 1305.0, 0, 
14681, plugins.script, NOMNAMM, 55.0, 0, 
14681, plugins.script, NOM, 56.0, 0, 
14681, plugins.script, NOCS, 28.0, 0, 
14681, plugins.script, NOI, 0.0, 0, 
14840, accessories.plugins.util.html, LOC, 101.0, 0, 
14840, accessories.plugins.util.html, NOMNAMM, 4.0, 0, 
14840, accessories.plugins.util.html, NOM, 4.0, 0, 
14840, accessories.plugins.util.html, NOCS, 2.0, 0, 
14840, accessories.plugins.util.html, NOI, 0.0, 0, 
14848, freemind.modes.schememode, LOC, 396.0, 0, 
14848, freemind.modes.schememode, NOMNAMM, 28.0, 0, 
14848, freemind.modes.schememode, NOM, 32.0, 0, 
14848, freemind.modes.schememode, NOCS, 8.0, 0, 
14848, freemind.modes.schememode, NOI, 0.0, 0, 
14891, freemind.modes.mindmapmode.dialogs, LOC, 614.0, 0, 
14891, freemind.modes.mindmapmode.dialogs, NOMNAMM, 11.0, 0, 
14891, freemind.modes.mindmapmode.dialogs, NOM, 18.0, 0, 
14891, freemind.modes.mindmapmode.dialogs, NOCS, 6.0, 0, 
14891, freemind.modes.mindmapmode.dialogs, NOI, 0.0, 0, 
14927, freemind.modes.common.plugins, LOC, 229.0, 0, 
14927, freemind.modes.common.plugins, NOMNAMM, 9.0, 0, 
14927, freemind.modes.common.plugins, NOM, 16.0, 0, 
14927, freemind.modes.common.plugins, NOCS, 6.0, 0, 
14927, freemind.modes.common.plugins, NOI, 0.0, 0, 
14958, plugins.svg, LOC, 153.0, 0, 
14958, plugins.svg, NOMNAMM, 4.0, 0, 
14958, plugins.svg, NOM, 4.0, 0, 
14958, plugins.svg, NOCS, 3.0, 0, 
14958, plugins.svg, NOI, 0.0, 0, 
14966, freemind.view.mindmapview.attributeview, LOC, 1212.0, 0, 
14966, freemind.view.mindmapview.attributeview, NOMNAMM, 102.0, 0, 
14966, freemind.view.mindmapview.attributeview, NOM, 120.0, 0, 
14966, freemind.view.mindmapview.attributeview, NOCS, 18.0, 0, 
14966, freemind.view.mindmapview.attributeview, NOI, 0.0, 0, 
15128, accessories.plugins.util.xslt, LOC, 267.0, 0, 
15128, accessories.plugins.util.xslt, NOMNAMM, 7.0, 0, 
15128, accessories.plugins.util.xslt, NOM, 7.0, 0, 
15128, accessories.plugins.util.xslt, NOCS, 4.0, 0, 
15128, accessories.plugins.util.xslt, NOI, 0.0, 0, 
15143, freemind.modes.viewmodes, LOC, 132.0, 0, 
15143, freemind.modes.viewmodes, NOMNAMM, 9.0, 0, 
15143, freemind.modes.viewmodes, NOM, 11.0, 0, 
15143, freemind.modes.viewmodes, NOCS, 3.0, 0, 
15143, freemind.modes.viewmodes, NOI, 0.0, 0, 
15160, tests.freemind.findreplace, LOC, 565.0, 0, 
15160, tests.freemind.findreplace, NOMNAMM, 92.0, 0, 
15160, tests.freemind.findreplace, NOM, 117.0, 0, 
15160, tests.freemind.findreplace, NOCS, 4.0, 0, 
15160, tests.freemind.findreplace, NOI, 0.0, 0, 
15290, freemind.modes.mindmapmode.listeners, LOC, 516.0, 0, 
15290, freemind.modes.mindmapmode.listeners, NOMNAMM, 27.0, 0, 
15290, freemind.modes.mindmapmode.listeners, NOM, 29.0, 0, 
15290, freemind.modes.mindmapmode.listeners, NOCS, 4.0, 0, 
15290, freemind.modes.mindmapmode.listeners, NOI, 0.0, 0, 
15326, freemind.controller.printpreview, LOC, 200.0, 0, 
15326, freemind.controller.printpreview, NOMNAMM, 21.0, 0, 
15326, freemind.controller.printpreview, NOM, 22.0, 0, 
15326, freemind.controller.printpreview, NOCS, 5.0, 0, 
15326, freemind.controller.printpreview, NOI, 0.0, 0, 
15356, plugins.collaboration.jabber, LOC, 13.0, 0, 
15356, plugins.collaboration.jabber, NOMNAMM, 1.0, 0, 
15356, plugins.collaboration.jabber, NOM, 1.0, 0, 
15356, plugins.collaboration.jabber, NOCS, 1.0, 0, 
15356, plugins.collaboration.jabber, NOI, 0.0, 0, 
15359, plugins.collaboration.jabber.mindmap, LOC, 884.0, 0, 
15359, plugins.collaboration.jabber.mindmap, NOMNAMM, 15.0, 0, 
15359, plugins.collaboration.jabber.mindmap, NOM, 23.0, 0, 
15359, plugins.collaboration.jabber.mindmap, NOCS, 10.0, 0, 
15359, plugins.collaboration.jabber.mindmap, NOI, 0.0, 0, 
15428, freemind.modes.mindmapmode.actions.xml, LOC, 439.0, 0, 
15428, freemind.modes.mindmapmode.actions.xml, NOMNAMM, 47.0, 0, 
15428, freemind.modes.mindmapmode.actions.xml, NOM, 53.0, 0, 
15428, freemind.modes.mindmapmode.actions.xml, NOCS, 7.0, 0, 
15428, freemind.modes.mindmapmode.actions.xml, NOI, 3.0, 0, 
15493, freemind.modes.common, LOC, 237.0, 0, 
15493, freemind.modes.common, NOMNAMM, 12.0, 0, 
15493, freemind.modes.common, NOM, 12.0, 0, 
15493, freemind.modes.common, NOCS, 3.0, 0, 
15493, freemind.modes.common, NOI, 0.0, 0, 
15511, plugins.collaboration.jabber.view, LOC, 730.0, 0, 
15511, plugins.collaboration.jabber.view, NOMNAMM, 33.0, 0, 
15511, plugins.collaboration.jabber.view, NOM, 33.0, 0, 
15511, plugins.collaboration.jabber.view, NOCS, 2.0, 0, 
15511, plugins.collaboration.jabber.view, NOI, 0.0, 0, 
15547, freemind.view, LOC, 70.0, 0, 
15547, freemind.view, NOMNAMM, 3.0, 0, 
15547, freemind.view, NOM, 11.0, 0, 
15547, freemind.view, NOCS, 1.0, 0, 
15547, freemind.view, NOI, 0.0, 0, 
