7720, toString(), 0.0, 7718, 
7822, toString(com.jasml.classes.Constant_NameAndType), 1.0, 7798, 
7823, toString(com.jasml.classes.Constant_String), 1.0, 7798, 
7824, toString(com.jasml.classes.JavaClass, int, java.lang.String, java.lang.StringBuffer), 1.0, 7798, 
7825, toString(com.jasml.classes.Field, int, java.lang.StringBuffer), 1.0, 7798, 
7826, toString(java.lang.String, java.lang.String, com.jasml.classes.Method, int, int, java.lang.String, java.lang.StringBuffer), 1.0, 7798, 
7827, calculateReferences(com.jasml.classes.Method, com.jasml.classes.Attribute_LineNumberTable, java.util.HashSet, LocalVariable[], com.jasml.classes.Attribute_Code.ExceptionTableItem, int, int, int, com.jasml.classes.Attribute_Code.Opcode, com.jasml.classes.Attribute_LocalVariableTable.LocalVariable, com.jasml.classes.Attribute, ExceptionTableItem[], int, com.jasml.classes.Attribute_LocalVariableTable, Opcode[], com.jasml.classes.Attribute_Code, LineNumber[]), 1.0, 7798, 
7829, toString_Static(com.jasml.classes.JavaClass, com.jasml.decompiler.SourceCodeBuilder), 1.0, 7798, 
7832, SourceCodeBuilderConfiguration(), 0.0, 7830, 
7834, parseClass(com.jasml.classes.JavaClass, java.io.FileInputStream, java.io.File, java.lang.Exception), 1.0, 7833, 
7835, readMagic(), 0.0, 7833, 
7836, readVersion(), 0.0, 7833, 
7837, readConstant_Pool_Count(), 0.0, 7833, 
7838, readConstantPool(byte, ConstantPoolItem[], int), 0.0, 7833, 
7839, readAccess_flags(), 0.0, 7833, 
7840, readThis_class(), 0.0, 7833, 
7841, readSuper_class(), 0.0, 7833, 
7842, readInterfaces(int), 0.0, 7833, 
7843, readFields(int), 0.0, 7833, 
7844, readMethods(int), 0.0, 7833, 
7845, readAttributes(int), 0.0, 7833, 
7846, readField(int, Attribute[], int, int, int, java.io.DataInputStream, int), 1.0, 7833, 
7847, readMethod(int, int, int, Attribute[], int, java.io.DataInputStream, int), 1.0, 7833, 
7848, readAttribute(int[], int, Attribute[], LocalVariable[], int, int, int, int, int, int, int, ExceptionTableItem[], int, byte[], Opcode[], LineNumber[], int, int, InnerClass[], java.io.DataInputStream, int, int, com.jasml.classes.Attribute, java.lang.String, byte[]), 1.0, 7833, 
7849, readExceptionTableItem(java.io.DataInputStream), 1.0, 7833, 
7850, readInnerClass(java.io.DataInputStream), 1.0, 7833, 
7851, readLineNumber(java.io.DataInputStream), 1.0, 7833, 
7852, readLocalVariable(java.io.DataInputStream), 1.0, 7833, 
7853, parseOpcodes(byte[], com.jasml.helper.OpcodeInfo, int, byte[][], int, int, boolean, int, int, byte[], int, byte[], int, byte[], int, com.jasml.classes.Attribute_Code.Opcode, int, java.util.ArrayList, byte[], int), 1.0, 7833, 
7854, prt(java.lang.Object), 1.0, 7833, 
7867, ParsingException(java.lang.String), 1.0, 7862, 
7868, getMessage(java.lang.StringBuffer), 0.0, 7862, 
7870, ConstantPoolGenerator(), 0.0, 7869, 
7871, getConstantPool(ConstantPoolItem[], com.jasml.classes.ConstantPool), 0.0, 7869, 
7872, addClass(int, java.lang.String, int), 1.0, 7869, 
7873, addDouble(int, double), 1.0, 7869, 
7875, addFloat(int, float), 1.0, 7869, 
7876, addInteger(int, int), 1.0, 7869, 
7878, addLong(int, long), 1.0, 7869, 
7880, lookupMIFref(java.lang.String, java.lang.Object), 1.0, 7869, 
7883, addString(int, com.jasml.classes.ConstantPoolItem, java.lang.String), 1.0, 7869, 
7884, lookupString(java.lang.String, java.lang.Object), 1.0, 7869, 
7885, addUtf8(com.jasml.classes.ConstantPoolItem, int, java.lang.String), 1.0, 7869, 
7886, lookupUtf8(com.jasml.classes.ConstantPoolItem, java.lang.String, int), 1.0, 7869, 
7887, lookupClass(java.lang.String, java.lang.Object), 1.0, 7869, 
7888, lookupNameAndType(java.lang.String, java.lang.Object), 1.0, 7869, 
7889, lookupDouble(com.jasml.classes.ConstantPoolItem, double, int), 1.0, 7869, 
7890, lookupInt(com.jasml.classes.ConstantPoolItem, int, int), 1.0, 7869, 
7891, lookupFloat(com.jasml.classes.ConstantPoolItem, float, int), 1.0, 7869, 
7892, lookupLong(com.jasml.classes.ConstantPoolItem, long, int), 1.0, 7869, 
7893, ensureCapacity(ConstantPoolItem[]), 0.0, 7869, 
7894, main(String[], com.jasml.compiler.ConstantPoolGenerator), 1.0, 7869, 
7897, Scanner(), 0.0, 7895, 
7898, Scanner(java.lang.String), 1.0, 7895, 
7900, Scanner(java.io.FileReader, java.io.IOException, java.io.File, char[]), 1.0, 7895, 
7901, getContent(), 0.0, 7895, 
7902, mark(), 0.0, 7895, 
7903, restore(), 0.0, 7895, 
7904, setLineNumberOn(boolean), 1.0, 7895, 
7905, setColumnNumberOn(boolean), 1.0, 7895, 
7906, nextToken(char, int), 0.0, 7895, 
7907, specialNumberType(java.lang.String), 1.0, 7895, 
7908, isValidName(char, java.lang.String, int), 1.0, 7895, 
7909, getOffset(), 0.0, 7895, 
7910, getLength(), 0.0, 7895, 
7911, tokenType(), 0.0, 7895, 
7912, token(), 0.0, 7895, 
7913, getLineNumberStart(), 0.0, 7895, 
7914, getLineNumberEnd(), 0.0, 7895, 
7915, getColumnNumberStart(), 0.0, 7895, 
7916, getColumnNumberEnd(), 0.0, 7895, 
7917, skipSpaces(char), 0.0, 7895, 
7918, read(char), 0.0, 7895, 
7919, consumeDigits(char), 0.0, 7895, 
7920, unread(char), 0.0, 7895, 
7921, delComment(boolean, int, int, boolean, boolean, char, char[], int), 1.0, 7895, 
7922, isSeparatingChar(char), 1.0, 7895, 
7923, isInstruction(java.lang.String), 1.0, 7895, 
7924, isAccessFlag(java.lang.String), 1.0, 7895, 
7927, main(String[], com.jasml.compiler.Scanner, com.jasml.compiler.ParsingException), 1.0, 7895, 
7930, dump(), 0.0, 7928, 
7931, dumpClassHeader(), 0.0, 7928, 
7932, dumpConstantPool(com.jasml.classes.ConstantPoolItem, com.jasml.classes.ConstantPool, int, int, int), 0.0, 7928, 
7933, dumpClassInfo(), 0.0, 7928, 
7934, dumpInterfaces(int), 0.0, 7928, 
7935, dumpFields(com.jasml.classes.Field, int, int), 0.0, 7928, 
7936, dumpMethods(com.jasml.classes.Method, int, int), 0.0, 7928, 
7937, dumpClassAttributes(int), 0.0, 7928, 
7938, dumpAttribute(com.jasml.classes.Attribute_LocalVariableTable.LocalVariable, com.jasml.classes.Attribute_Code.Opcode, com.jasml.classes.Attribute_Code.ExceptionTableItem, byte[][], com.jasml.classes.Attribute_InnerClasses.InnerClass, com.jasml.classes.Attribute, com.jasml.classes.Attribute_LocalVariableTable, com.jasml.classes.Attribute_InnerClasses, com.jasml.classes.Attribute_Code, com.jasml.classes.Attribute_Exceptions, int, int), 1.0, 7928, 
7940, SourceCodeParser(java.io.File), 1.0, 7939, 
7941, SourceCodeParser(java.lang.String), 1.0, 7939, 
7942, parse(), 0.0, 7939, 
7943, preprocessConstantValues(java.lang.String), 0.0, 7939, 
7944, parseClass(), 0.0, 7939, 
7945, parseClassSignature(int, com.jasml.helper.IntegerArray), 0.0, 7939, 
7946, parseFields(java.lang.Object, java.util.ArrayList), 0.0, 7939, 
7947, parseField(java.lang.String, int, int, com.jasml.classes.Attribute_ConstantValue, java.lang.String, com.jasml.classes.Field, java.util.ArrayList, java.lang.String, java.lang.String), 0.0, 7939, 
7948, parseMethods(java.lang.Object, java.util.ArrayList), 0.0, 7939, 
7949, parseMethod(com.jasml.compiler.SourceCodeParser.LabeledInstructions, java.util.ArrayList, com.jasml.classes.Method, com.jasml.classes.Attribute_Code, int, java.util.ArrayList), 0.0, 7939, 
7951, parseLineNumbers(java.lang.String), 1.0, 7939, 
7952, parseMethodInstructions(com.jasml.helper.OpcodeInfo, java.util.ArrayList, java.util.Hashtable, int, byte[][], com.jasml.classes.Method, java.util.ArrayList, boolean, int, java.lang.String, int, java.lang.String, java.lang.String, com.jasml.classes.Attribute_Code.Opcode, int, int, boolean, int, java.lang.String, int, java.util.ArrayList, int, int, java.lang.StringBuffer, int), 1.0, 7939, 
7958, parseAttribute(com.jasml.classes.Attribute, java.lang.String), 0.0, 7939, 
7959, parseInnerClasses(com.jasml.compiler.Scanner, int, com.jasml.classes.Attribute_InnerClasses, int, int, int, java.util.ArrayList), 0.0, 7939, 
7960, parseClassAttributes(int, int, java.lang.String, java.util.ArrayList), 0.0, 7939, 
7961, parseMaxStackOrLocals(com.jasml.classes.Attribute_Code, com.jasml.compiler.Scanner), 1.0, 7939, 
7962, parseMajorOrMinor(java.lang.String, java.lang.NumberFormatException), 0.0, 7939, 
7963, parseInteger(java.lang.String), 1.0, 7939, 
7964, parseLong(java.lang.String), 1.0, 7939, 
7965, parseFloat(java.lang.String), 1.0, 7939, 
7966, parseDouble(java.lang.String), 1.0, 7939, 
7968, main(String[], com.jasml.compiler.SourceCodeParser), 1.0, 7939, 
7970, OpcodeWrapper(com.jasml.classes.Attribute_Code.Opcode), 1.0, 7969, 
7976, IntegerArray(int), 1.0, 7975, 
7977, add(int, int[]), 1.0, 7975, 
7978, getAll(int[]), 0.0, 7975, 
7980, getOpcodeInfo(byte), 1.0, 7979, 
7981, getOpcodeInfo(java.lang.String, java.lang.Object), 1.0, 7979, 
7985, accessFlagToString_Class(short, java.lang.StringBuffer), 1.0, 7984, 
7986, getAccessFlag_Class(short, java.lang.String), 1.0, 7984, 
7987, accessFlagToString_Field(short, java.lang.StringBuffer), 1.0, 7984, 
7988, accessFlagToString_Method(short, java.lang.StringBuffer), 1.0, 7984, 
7989, getAccessFlag_Method(short, java.lang.String), 1.0, 7984, 
7990, getAccessFlag_Field(short, java.lang.String), 1.0, 7984, 
7991, hasMethodBody(short), 1.0, 7984, 
7992, methodParameterToString(int, java.lang.String, int, java.lang.String, java.lang.StringBuffer), 1.0, 7984, 
7993, descriptorToString(java.lang.String, java.lang.String, int), 1.0, 7984, 
7994, toInnerType(java.lang.String, int, java.lang.String), 1.0, 7984, 
7995, toInnerClassName(java.lang.String, int, int), 1.0, 7984, 
7996, toInnerParameterTypes(java.lang.String, java.lang.StringBuffer, java.util.StringTokenizer), 1.0, 7984, 
7998, isDigit(char, java.lang.String, int), 1.0, 7984, 
8000, constantClassToString(java.lang.String, int), 1.0, 7984, 
8001, getPrimitiveTypeCode(int, java.lang.String), 1.0, 7984, 
8002, toViewableString(char, java.lang.String, java.lang.StringBuffer, int, int), 1.0, 7984, 
8003, getUnicodeChar(char), 1.0, 7984, 
8004, parseViewableString(int, int, java.lang.String, int, java.lang.StringBuffer, char), 1.0, 7984, 
8006, getNum(byte[]), 1.0, 7984, 
8007, getSignedNum(byte[]), 1.0, 7984, 
8008, main(int, String[]), 1.0, 7984, 
8010, loadOpcodes(org.w3c.dom.Node, org.w3c.dom.NodeList, javax.xml.parsers.DocumentBuilderFactory, org.w3c.dom.Document, int, int), 0.0, 8009, 
8011, processOpcode(org.w3c.dom.Node, int, org.w3c.dom.NamedNodeMap, org.w3c.dom.NodeList, int, int, com.jasml.helper.OpcodeInfo, int, org.w3c.dom.NodeList, java.lang.String, short[]), 1.0, 8009, 
8012, main(com.jasml.helper.OpcodeInfo, OpcodeInfo[], String[], int, com.jasml.helper.OpcodeLoader), 1.0, 8009, 
8013, prt(java.lang.String), 1.0, 8009, 
8014, pr(java.lang.String), 1.0, 8009, 
