15562, Field, LOC, 21.0, 15561, 
15574, Constant_Float, WMC, 2.0, 15561, 
15574, Constant_Float, NOA, 1.0, 15561, 
15574, Constant_Float, LOCNAMM, 11.0, 15561, 
15574, Constant_Float, AMWNAMM, 1.0, 15561, 
15574, Constant_Float, RFC, 3.0, 15561, 
15574, Constant_Float, NOII, 0.0, 15561, 
15574, Constant_Float, AMW, 1.0, 15561, 
15574, Constant_Float, TCC, 1.0, 15561, 
15574, Constant_Float, ATFD, 0.0, 15561, 
15574, Constant_Float, FANOUT, 0.0, 15561, 
15574, Constant_Float, NOCS, 0.0, 15561, 
15574, Constant_Float, NIM, 0.0, 15561, 
15574, Constant_Float, LCOM5, 1.0, 15561, 
15574, Constant_Float, NOAM, 0.0, 15561, 
15574, Constant_Float, CBO, 2.0, 15561, 
15574, Constant_Float, WOC, 0.666666666666667, 15561, 
15574, Constant_Float, DIT, 2.0, 15561, 
15574, Constant_Float, NOPA, 1.0, 15561, 
15574, Constant_Float, NOC, 0.0, 15561, 
15574, Constant_Float, CFNAMM, 5.0, 15561, 
15574, Constant_Float, NMO, 1.0, 15561, 
15577, ConstantPoolItem, LOC, 8.0, 15561, 
15577, ConstantPoolItem, NOMNAMM, 1.0, 15561, 
15577, ConstantPoolItem, NOM, 1.0, 15561, 
15577, ConstantPoolItem, WMCNAMM, 1.0, 15561, 
15577, ConstantPoolItem, WMC, 1.0, 15561, 
15577, ConstantPoolItem, NOA, 2.0, 15561, 
15577, ConstantPoolItem, LOCNAMM, 8.0, 15561, 
15577, ConstantPoolItem, AMWNAMM, 1.0, 15561, 
15577, ConstantPoolItem, RFC, 1.0, 15561, 
15577, ConstantPoolItem, NOII, 0.0, 15561, 
15577, ConstantPoolItem, AMW, 1.0, 15561, 
15577, ConstantPoolItem, TCC, 1.0, 15561, 
15577, ConstantPoolItem, ATFD, 0.0, 15561, 
15577, ConstantPoolItem, FANOUT, 0.0, 15561, 
15577, ConstantPoolItem, NOCS, 0.0, 15561, 
15577, ConstantPoolItem, NIM, 0.0, 15561, 
15577, ConstantPoolItem, LCOM5, 0.0, 15561, 
15577, ConstantPoolItem, NOAM, 0.0, 15561, 
15577, ConstantPoolItem, CBO, 1.0, 15561, 
15577, ConstantPoolItem, WOC, 0.333333333333333, 15561, 
15577, ConstantPoolItem, DIT, 1.0, 15561, 
15577, ConstantPoolItem, NOPA, 2.0, 15561, 
15577, ConstantPoolItem, NOC, 11.0, 15561, 
15577, ConstantPoolItem, CFNAMM, 0.0, 15561, 
15577, ConstantPoolItem, NMO, 0.0, 15561, 
15579, Attribute_LineNumberTable, LOC, 23.0, 15561, 
15579, Attribute_LineNumberTable, NOMNAMM, 1.0, 15561, 
15579, Attribute_LineNumberTable, NOM, 1.0, 15561, 
15579, Attribute_LineNumberTable, WMCNAMM, 1.0, 15561, 
15579, Attribute_LineNumberTable, WMC, 1.0, 15561, 
15579, Attribute_LineNumberTable, NOA, 2.0, 15561, 
15579, Attribute_LineNumberTable, LOCNAMM, 23.0, 15561, 
15579, Attribute_LineNumberTable, AMWNAMM, 1.0, 15561, 
15579, Attribute_LineNumberTable, RFC, 2.0, 15561, 
15579, Attribute_LineNumberTable, NOII, 0.0, 15561, 
15579, Attribute_LineNumberTable, AMW, 1.0, 15561, 
15579, Attribute_LineNumberTable, TCC, 1.0, 15561, 
15579, Attribute_LineNumberTable, ATFD, 0.0, 15561, 
15579, Attribute_LineNumberTable, FANOUT, 0.0, 15561, 
15579, Attribute_LineNumberTable, NOCS, 1.0, 15561, 
15579, Attribute_LineNumberTable, NIM, 0.0, 15561, 
15579, Attribute_LineNumberTable, LCOM5, 0.0, 15561, 
15579, Attribute_LineNumberTable, NOAM, 0.0, 15561, 
15579, Attribute_LineNumberTable, CBO, 2.0, 15561, 
15579, Attribute_LineNumberTable, WOC, 0.333333333333333, 15561, 
15579, Attribute_LineNumberTable, DIT, 2.0, 15561, 
15579, Attribute_LineNumberTable, NOPA, 2.0, 15561, 
15579, Attribute_LineNumberTable, NOC, 0.0, 15561, 
15579, Attribute_LineNumberTable, CFNAMM, 3.0, 15561, 
15579, Attribute_LineNumberTable, NMO, 0.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, LOC, 9.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, NOMNAMM, 1.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, NOM, 1.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, WMCNAMM, 1.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, WMC, 1.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, NOA, 2.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, LOCNAMM, 9.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, AMWNAMM, 1.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, RFC, 1.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, NOII, 0.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, AMW, 1.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, TCC, 1.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, ATFD, 0.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, FANOUT, 0.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, NOCS, 0.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, NIM, 0.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, LCOM5, 0.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, NOAM, 0.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, CBO, 0.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, WOC, 0.333333333333333, 15561, 
15581, Attribute_LineNumberTable.LineNumber, DIT, 1.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, NOPA, 2.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, NOC, 0.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, CFNAMM, 0.0, 15561, 
15581, Attribute_LineNumberTable.LineNumber, NMO, 0.0, 15561, 
15583, Attribute_LocalVariableTable, LOC, 32.0, 15561, 
15583, Attribute_LocalVariableTable, NOMNAMM, 1.0, 15561, 
15583, Attribute_LocalVariableTable, NOM, 1.0, 15561, 
15583, Attribute_LocalVariableTable, WMCNAMM, 1.0, 15561, 
15583, Attribute_LocalVariableTable, WMC, 1.0, 15561, 
15583, Attribute_LocalVariableTable, NOA, 2.0, 15561, 
15583, Attribute_LocalVariableTable, LOCNAMM, 32.0, 15561, 
15583, Attribute_LocalVariableTable, AMWNAMM, 1.0, 15561, 
15583, Attribute_LocalVariableTable, RFC, 2.0, 15561, 
15583, Attribute_LocalVariableTable, NOII, 0.0, 15561, 
15583, Attribute_LocalVariableTable, AMW, 1.0, 15561, 
15583, Attribute_LocalVariableTable, TCC, 1.0, 15561, 
15583, Attribute_LocalVariableTable, ATFD, 0.0, 15561, 
15583, Attribute_LocalVariableTable, FANOUT, 0.0, 15561, 
15583, Attribute_LocalVariableTable, NOCS, 1.0, 15561, 
15583, Attribute_LocalVariableTable, NIM, 0.0, 15561, 
15583, Attribute_LocalVariableTable, LCOM5, 0.0, 15561, 
15583, Attribute_LocalVariableTable, NOAM, 0.0, 15561, 
15583, Attribute_LocalVariableTable, CBO, 2.0, 15561, 
15583, Attribute_LocalVariableTable, WOC, 0.333333333333333, 15561, 
15583, Attribute_LocalVariableTable, DIT, 2.0, 15561, 
15583, Attribute_LocalVariableTable, NOPA, 2.0, 15561, 
15583, Attribute_LocalVariableTable, NOC, 0.0, 15561, 
15583, Attribute_LocalVariableTable, CFNAMM, 3.0, 15561, 
15583, Attribute_LocalVariableTable, NMO, 0.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, LOC, 19.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, NOMNAMM, 1.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, NOM, 1.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, WMCNAMM, 1.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, WMC, 1.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, NOA, 5.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, LOCNAMM, 19.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, AMWNAMM, 1.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, RFC, 1.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, NOII, 0.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, AMW, 1.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, TCC, 1.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, ATFD, 0.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, FANOUT, 0.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, NOCS, 0.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, NIM, 0.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, LCOM5, 0.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, NOAM, 0.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, CBO, 0.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, WOC, 0.166666666666667, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, DIT, 1.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, NOPA, 5.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, NOC, 0.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, CFNAMM, 0.0, 15561, 
15585, Attribute_LocalVariableTable.LocalVariable, NMO, 0.0, 15561, 
15587, Constant_Methodref, LOC, 14.0, 15561, 
15587, Constant_Methodref, NOMNAMM, 2.0, 15561, 
15587, Constant_Methodref, NOM, 2.0, 15561, 
15587, Constant_Methodref, WMCNAMM, 2.0, 15561, 
15587, Constant_Methodref, WMC, 2.0, 15561, 
15587, Constant_Methodref, NOA, 2.0, 15561, 
15587, Constant_Methodref, LOCNAMM, 14.0, 15561, 
15587, Constant_Methodref, AMWNAMM, 1.0, 15561, 
15587, Constant_Methodref, RFC, 3.0, 15561, 
15587, Constant_Methodref, NOII, 0.0, 15561, 
15587, Constant_Methodref, AMW, 1.0, 15561, 
15587, Constant_Methodref, TCC, 1.0, 15561, 
15587, Constant_Methodref, ATFD, 0.0, 15561, 
15587, Constant_Methodref, FANOUT, 0.0, 15561, 
15587, Constant_Methodref, NOCS, 0.0, 15561, 
15587, Constant_Methodref, NIM, 0.0, 15561, 
15587, Constant_Methodref, LCOM5, 1.0, 15561, 
15587, Constant_Methodref, NOAM, 0.0, 15561, 
15587, Constant_Methodref, CBO, 2.0, 15561, 
15587, Constant_Methodref, WOC, 0.5, 15561, 
15587, Constant_Methodref, DIT, 2.0, 15561, 
15587, Constant_Methodref, NOPA, 2.0, 15561, 
15587, Constant_Methodref, NOC, 0.0, 15561, 
15587, Constant_Methodref, CFNAMM, 5.0, 15561, 
15587, Constant_Methodref, NMO, 1.0, 15561, 
15590, Attribute_Code, LOC, 76.0, 15561, 
15590, Attribute_Code, NOMNAMM, 2.0, 15561, 
15590, Attribute_Code, NOM, 2.0, 15561, 
15590, Attribute_Code, WMCNAMM, 2.0, 15561, 
15590, Attribute_Code, WMC, 2.0, 15561, 
15590, Attribute_Code, NOA, 8.0, 15561, 
15590, Attribute_Code, LOCNAMM, 76.0, 15561, 
15590, Attribute_Code, AMWNAMM, 1.0, 15561, 
15590, Attribute_Code, RFC, 3.0, 15561, 
15590, Attribute_Code, NOII, 0.0, 15561, 
15590, Attribute_Code, AMW, 1.0, 15561, 
15590, Attribute_Code, TCC, 1.0, 15561, 
15590, Attribute_Code, ATFD, 0.0, 15561, 
15590, Attribute_Code, FANOUT, 0.0, 15561, 
15590, Attribute_Code, NOCS, 2.0, 15561, 
15590, Attribute_Code, NIM, 0.0, 15561, 
15590, Attribute_Code, LCOM5, 2.0, 15561, 
15590, Attribute_Code, NOAM, 0.0, 15561, 
15590, Attribute_Code, CBO, 2.0, 15561, 
15590, Attribute_Code, WOC, 0.2, 15561, 
15590, Attribute_Code, DIT, 2.0, 15561, 
15590, Attribute_Code, NOPA, 8.0, 15561, 
15590, Attribute_Code, NOC, 0.0, 15561, 
15590, Attribute_Code, CFNAMM, 8.0, 15561, 
15590, Attribute_Code, NMO, 0.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, LOC, 16.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, NOMNAMM, 1.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, NOM, 1.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, WMCNAMM, 1.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, WMC, 1.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, NOA, 4.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, LOCNAMM, 16.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, AMWNAMM, 1.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, RFC, 1.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, NOII, 0.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, AMW, 1.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, TCC, 1.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, ATFD, 0.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, FANOUT, 0.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, NOCS, 0.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, NIM, 0.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, LCOM5, 0.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, NOAM, 0.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, CBO, 0.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, WOC, 0.2, 15561, 
15593, Attribute_Code.ExceptionTableItem, DIT, 1.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, NOPA, 4.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, NOC, 0.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, CFNAMM, 0.0, 15561, 
15593, Attribute_Code.ExceptionTableItem, NMO, 0.0, 15561, 
15595, Attribute_Code.Opcode, LOC, 22.0, 15561, 
15595, Attribute_Code.Opcode, NOMNAMM, 2.0, 15561, 
15595, Attribute_Code.Opcode, NOM, 2.0, 15561, 
15595, Attribute_Code.Opcode, WMCNAMM, 2.0, 15561, 
15595, Attribute_Code.Opcode, WMC, 2.0, 15561, 
15595, Attribute_Code.Opcode, NOA, 3.0, 15561, 
15595, Attribute_Code.Opcode, LOCNAMM, 22.0, 15561, 
15595, Attribute_Code.Opcode, AMWNAMM, 1.0, 15561, 
15595, Attribute_Code.Opcode, RFC, 2.0, 15561, 
15595, Attribute_Code.Opcode, NOII, 0.0, 15561, 
15595, Attribute_Code.Opcode, AMW, 1.0, 15561, 
15595, Attribute_Code.Opcode, TCC, 1.0, 15561, 
15595, Attribute_Code.Opcode, ATFD, 0.0, 15561, 
15595, Attribute_Code.Opcode, FANOUT, 0.0, 15561, 
15595, Attribute_Code.Opcode, NOCS, 0.0, 15561, 
15595, Attribute_Code.Opcode, NIM, 0.0, 15561, 
15595, Attribute_Code.Opcode, LCOM5, 2.0, 15561, 
15595, Attribute_Code.Opcode, NOAM, 0.0, 15561, 
15595, Attribute_Code.Opcode, CBO, 0.0, 15561, 
15595, Attribute_Code.Opcode, WOC, 0.4, 15561, 
15595, Attribute_Code.Opcode, DIT, 1.0, 15561, 
15595, Attribute_Code.Opcode, NOPA, 3.0, 15561, 
15595, Attribute_Code.Opcode, NOC, 1.0, 15561, 
15595, Attribute_Code.Opcode, CFNAMM, 0.0, 15561, 
15595, Attribute_Code.Opcode, NMO, 0.0, 15561, 
15598, Attribute_Deprecated, LOC, 5.0, 15561, 
15598, Attribute_Deprecated, NOMNAMM, 1.0, 15561, 
15598, Attribute_Deprecated, NOM, 1.0, 15561, 
15598, Attribute_Deprecated, WMCNAMM, 1.0, 15561, 
15598, Attribute_Deprecated, WMC, 1.0, 15561, 
15598, Attribute_Deprecated, NOA, 0.0, 15561, 
15598, Attribute_Deprecated, LOCNAMM, 5.0, 15561, 
15598, Attribute_Deprecated, AMWNAMM, 1.0, 15561, 
15598, Attribute_Deprecated, RFC, 2.0, 15561, 
15598, Attribute_Deprecated, NOII, 0.0, 15561, 
15598, Attribute_Deprecated, AMW, 1.0, 15561, 
15598, Attribute_Deprecated, TCC, 1.0, 15561, 
15598, Attribute_Deprecated, ATFD, 0.0, 15561, 
15598, Attribute_Deprecated, FANOUT, 0.0, 15561, 
15598, Attribute_Deprecated, NOCS, 0.0, 15561, 
15598, Attribute_Deprecated, NIM, 0.0, 15561, 
15598, Attribute_Deprecated, LCOM5, 0.0, 15561, 
15598, Attribute_Deprecated, NOAM, 0.0, 15561, 
15598, Attribute_Deprecated, CBO, 2.0, 15561, 
15598, Attribute_Deprecated, WOC, 1.0, 15561, 
15598, Attribute_Deprecated, DIT, 2.0, 15561, 
15598, Attribute_Deprecated, NOPA, 0.0, 15561, 
15598, Attribute_Deprecated, NOC, 0.0, 15561, 
15598, Attribute_Deprecated, CFNAMM, 3.0, 15561, 
15598, Attribute_Deprecated, NMO, 0.0, 15561, 
15600, JavaClass, LOC, 34.0, 15561, 
15600, JavaClass, NOMNAMM, 0.0, 15561, 
15600, JavaClass, NOM, 0.0, 15561, 
15600, JavaClass, WMCNAMM, 0.0, 15561, 
15600, JavaClass, WMC, 0.0, 15561, 
15600, JavaClass, NOA, 16.0, 15561, 
15600, JavaClass, LOCNAMM, 34.0, 15561, 
15600, JavaClass, AMWNAMM, 0.0, 15561, 
15600, JavaClass, RFC, 0.0, 15561, 
15600, JavaClass, NOII, 0.0, 15561, 
15600, JavaClass, AMW, 0.0, 15561, 
15600, JavaClass, TCC, 1.0, 15561, 
15600, JavaClass, ATFD, 0.0, 15561, 
15600, JavaClass, FANOUT, 0.0, 15561, 
15600, JavaClass, NOCS, 0.0, 15561, 
15600, JavaClass, NIM, 0.0, 15561, 
15600, JavaClass, LCOM5, 0.0, 15561, 
15600, JavaClass, NOAM, 0.0, 15561, 
15600, JavaClass, CBO, 4.0, 15561, 
15600, JavaClass, WOC, 0.0, 15561, 
15600, JavaClass, DIT, 1.0, 15561, 
15600, JavaClass, NOPA, 16.0, 15561, 
15600, JavaClass, NOC, 0.0, 15561, 
15600, JavaClass, CFNAMM, 0.0, 15561, 
15600, JavaClass, NMO, 0.0, 15561, 
15602, Constant_String, LOC, 11.0, 15561, 
15602, Constant_String, NOMNAMM, 2.0, 15561, 
15602, Constant_String, NOM, 2.0, 15561, 
15602, Constant_String, WMCNAMM, 2.0, 15561, 
15602, Constant_String, WMC, 2.0, 15561, 
15602, Constant_String, NOA, 1.0, 15561, 
15602, Constant_String, LOCNAMM, 11.0, 15561, 
15602, Constant_String, AMWNAMM, 1.0, 15561, 
15602, Constant_String, RFC, 3.0, 15561, 
15602, Constant_String, NOII, 0.0, 15561, 
15602, Constant_String, AMW, 1.0, 15561, 
15602, Constant_String, TCC, 1.0, 15561, 
15602, Constant_String, ATFD, 0.0, 15561, 
15602, Constant_String, FANOUT, 0.0, 15561, 
15602, Constant_String, NOCS, 0.0, 15561, 
15602, Constant_String, NIM, 0.0, 15561, 
15602, Constant_String, LCOM5, 1.0, 15561, 
15602, Constant_String, NOAM, 0.0, 15561, 
15602, Constant_String, CBO, 2.0, 15561, 
15602, Constant_String, WOC, 0.666666666666667, 15561, 
15602, Constant_String, DIT, 2.0, 15561, 
15602, Constant_String, NOPA, 1.0, 15561, 
15602, Constant_String, NOC, 0.0, 15561, 
15602, Constant_String, CFNAMM, 5.0, 15561, 
15602, Constant_String, NMO, 1.0, 15561, 
15605, Constant_Long, LOC, 15.0, 15561, 
15605, Constant_Long, NOMNAMM, 2.0, 15561, 
15605, Constant_Long, NOM, 3.0, 15561, 
15605, Constant_Long, WMCNAMM, 2.0, 15561, 
15605, Constant_Long, WMC, 3.0, 15561, 
15605, Constant_Long, NOA, 1.0, 15561, 
15605, Constant_Long, LOCNAMM, 10.0, 15561, 
15605, Constant_Long, AMWNAMM, 1.0, 15561, 
15605, Constant_Long, RFC, 4.0, 15561, 
15605, Constant_Long, NOII, 0.0, 15561, 
15605, Constant_Long, AMW, 1.0, 15561, 
15605, Constant_Long, TCC, 1.0, 15561, 
15605, Constant_Long, ATFD, 0.0, 15561, 
15605, Constant_Long, FANOUT, 0.0, 15561, 
15605, Constant_Long, NOCS, 0.0, 15561, 
15605, Constant_Long, NIM, 0.0, 15561, 
15605, Constant_Long, LCOM5, 0.5, 15561, 
15605, Constant_Long, NOAM, 1.0, 15561, 
15605, Constant_Long, CBO, 2.0, 15561, 
15605, Constant_Long, WOC, 0.5, 15561, 
15605, Constant_Long, DIT, 2.0, 15561, 
15605, Constant_Long, NOPA, 1.0, 15561, 
15605, Constant_Long, NOC, 0.0, 15561, 
15605, Constant_Long, CFNAMM, 7.0, 15561, 
15605, Constant_Long, NMO, 1.0, 15561, 
15609, Attribute_Exceptions, LOC, 11.0, 15561, 
15609, Attribute_Exceptions, NOMNAMM, 1.0, 15561, 
15609, Attribute_Exceptions, NOM, 1.0, 15561, 
15609, Attribute_Exceptions, WMCNAMM, 1.0, 15561, 
15609, Attribute_Exceptions, WMC, 1.0, 15561, 
15609, Attribute_Exceptions, NOA, 2.0, 15561, 
15609, Attribute_Exceptions, LOCNAMM, 11.0, 15561, 
15609, Attribute_Exceptions, AMWNAMM, 1.0, 15561, 
15609, Attribute_Exceptions, RFC, 2.0, 15561, 
15609, Attribute_Exceptions, NOII, 0.0, 15561, 
15609, Attribute_Exceptions, AMW, 1.0, 15561, 
15609, Attribute_Exceptions, TCC, 1.0, 15561, 
15609, Attribute_Exceptions, ATFD, 0.0, 15561, 
15609, Attribute_Exceptions, FANOUT, 0.0, 15561, 
15609, Attribute_Exceptions, NOCS, 0.0, 15561, 
15609, Attribute_Exceptions, NIM, 0.0, 15561, 
15609, Attribute_Exceptions, LCOM5, 0.0, 15561, 
15609, Attribute_Exceptions, NOAM, 0.0, 15561, 
15609, Attribute_Exceptions, CBO, 2.0, 15561, 
