2, ExtendedComboBoxModel, NOMNAMM, 14.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, NOII, 1.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, TCC, 0.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, CBO, 1.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, LOCNAMM, 27.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, AMWNAMM, 1.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, DIT, 1.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, RFC, 5.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, NOCS, 0.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, WOC, 1.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, ATFD, 0.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, AMW, 1.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, LCOM5, 0.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, NOAM, 0.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, NOPA, 0.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, NMO, 0.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, NIM, 0.0, 1, 
18, ExtendedComboBoxModel.ExtensionDataListener, NOC, 0.0, 1, 
23, SortedListModel, NOMNAMM, 6.0, 1, 
23, SortedListModel, NOM, 6.0, 1, 
23, SortedListModel, LOC, 23.0, 1, 
23, SortedListModel, WMCNAMM, 6.0, 1, 
23, SortedListModel, WMC, 6.0, 1, 
23, SortedListModel, NOA, 0.0, 1, 
23, SortedListModel, CFNAMM, 0.0, 1, 
23, SortedListModel, FANOUT, 0.0, 1, 
23, SortedListModel, NOII, 1.0, 1, 
23, SortedListModel, TCC, 0.0, 1, 
23, SortedListModel, CBO, 0.0, 1, 
23, SortedListModel, LOCNAMM, 23.0, 1, 
23, SortedListModel, AMWNAMM, 1.0, 1, 
23, SortedListModel, RFC, 6.0, 1, 
23, SortedListModel, NOCS, 0.0, 1, 
23, SortedListModel, WOC, 0.0, 1, 
23, SortedListModel, ATFD, 0.0, 1, 
23, SortedListModel, AMW, 1.0, 1, 
23, SortedListModel, LCOM5, 0.0, 1, 
23, SortedListModel, NOAM, 0.0, 1, 
23, SortedListModel, NOPA, 0.0, 1, 
23, SortedListModel, NOC, 0.0, 1, 
30, SortedMapVector, NOMNAMM, 14.0, 1, 
30, SortedMapVector, NOM, 14.0, 1, 
30, SortedMapVector, LOC, 131.0, 1, 
30, SortedMapVector, WMCNAMM, 29.0, 1, 
30, SortedMapVector, WMC, 29.0, 1, 
30, SortedMapVector, NOA, 3.0, 1, 
30, SortedMapVector, CFNAMM, 28.0, 1, 
30, SortedMapVector, FANOUT, 1.0, 1, 
30, SortedMapVector, NOII, 0.0, 1, 
30, SortedMapVector, TCC, 0.781818181818182, 1, 
30, SortedMapVector, CBO, 0.0, 1, 
30, SortedMapVector, LOCNAMM, 131.0, 1, 
30, SortedMapVector, AMWNAMM, 2.07142857142857, 1, 
30, SortedMapVector, DIT, 1.0, 1, 
30, SortedMapVector, RFC, 17.0, 1, 
30, SortedMapVector, NOCS, 1.0, 1, 
30, SortedMapVector, WOC, 1.0, 1, 
30, SortedMapVector, ATFD, 0.0, 1, 
30, SortedMapVector, AMW, 2.07142857142857, 1, 
30, SortedMapVector, LCOM5, 0.666666666666667, 1, 
30, SortedMapVector, NOAM, 0.0, 1, 
30, SortedMapVector, NOPA, 0.0, 1, 
30, SortedMapVector, NMO, 0.0, 1, 
30, SortedMapVector, NIM, 0.0, 1, 
30, SortedMapVector, NOC, 0.0, 1, 
45, SortedMapVector.MapElement, NOMNAMM, 1.0, 1, 
45, SortedMapVector.MapElement, NOM, 4.0, 1, 
45, SortedMapVector.MapElement, LOC, 18.0, 1, 
45, SortedMapVector.MapElement, WMCNAMM, 1.0, 1, 
45, SortedMapVector.MapElement, WMC, 4.0, 1, 
45, SortedMapVector.MapElement, NOA, 2.0, 1, 
45, SortedMapVector.MapElement, CFNAMM, 0.0, 1, 
45, SortedMapVector.MapElement, FANOUT, 0.0, 1, 
45, SortedMapVector.MapElement, NOII, 0.0, 1, 
45, SortedMapVector.MapElement, TCC, 0.333333333333333, 1, 
45, SortedMapVector.MapElement, CBO, 0.0, 1, 
45, SortedMapVector.MapElement, LOCNAMM, 3.0, 1, 
45, SortedMapVector.MapElement, AMWNAMM, 1.0, 1, 
45, SortedMapVector.MapElement, DIT, 1.0, 1, 
45, SortedMapVector.MapElement, RFC, 4.0, 1, 
45, SortedMapVector.MapElement, NOCS, 0.0, 1, 
45, SortedMapVector.MapElement, WOC, 1.0, 1, 
45, SortedMapVector.MapElement, ATFD, 0.0, 1, 
45, SortedMapVector.MapElement, AMW, 1.0, 1, 
45, SortedMapVector.MapElement, LCOM5, 0.833333333333333, 1, 
45, SortedMapVector.MapElement, NOAM, 3.0, 1, 
45, SortedMapVector.MapElement, NOPA, 0.0, 1, 
45, SortedMapVector.MapElement, NMO, 0.0, 1, 
45, SortedMapVector.MapElement, NIM, 0.0, 1, 
45, SortedMapVector.MapElement, NOC, 0.0, 1, 
50, SortedComboBoxModel, NOMNAMM, 0.0, 1, 
50, SortedComboBoxModel, NOM, 2.0, 1, 
50, SortedComboBoxModel, LOC, 17.0, 1, 
50, SortedComboBoxModel, WMCNAMM, 0.0, 1, 
50, SortedComboBoxModel, WMC, 2.0, 1, 
50, SortedComboBoxModel, NOA, 1.0, 1, 
50, SortedComboBoxModel, CFNAMM, 0.0, 1, 
50, SortedComboBoxModel, FANOUT, 0.0, 1, 
50, SortedComboBoxModel, NOII, 2.0, 1, 
50, SortedComboBoxModel, TCC, 1.0, 1, 
50, SortedComboBoxModel, CBO, 0.0, 1, 
50, SortedComboBoxModel, LOCNAMM, 6.0, 1, 
50, SortedComboBoxModel, AMWNAMM, 0.0, 1, 
50, SortedComboBoxModel, DIT, 3.0, 1, 
50, SortedComboBoxModel, RFC, 14.0, 1, 
50, SortedComboBoxModel, NOCS, 0.0, 1, 
50, SortedComboBoxModel, WOC, 0.0, 1, 
50, SortedComboBoxModel, ATFD, 0.0, 1, 
50, SortedComboBoxModel, AMW, 1.0, 1, 
50, SortedComboBoxModel, LCOM5, 0.0, 1, 
50, SortedComboBoxModel, NOAM, 2.0, 1, 
50, SortedComboBoxModel, NOPA, 0.0, 1, 
50, SortedComboBoxModel, NMO, 0.0, 1, 
50, SortedComboBoxModel, NIM, 19.0, 1, 
50, SortedComboBoxModel, NOC, 1.0, 1, 
53, SortedMapListModel, NOMNAMM, 13.0, 1, 
53, SortedMapListModel, NOM, 13.0, 1, 
53, SortedMapListModel, LOC, 87.0, 1, 
53, SortedMapListModel, WMCNAMM, 21.0, 1, 
53, SortedMapListModel, WMC, 21.0, 1, 
53, SortedMapListModel, NOA, 1.0, 1, 
53, SortedMapListModel, CFNAMM, 0.0, 1, 
53, SortedMapListModel, FANOUT, 0.0, 1, 
53, SortedMapListModel, NOII, 1.0, 1, 
53, SortedMapListModel, TCC, 0.833333333333333, 1, 
53, SortedMapListModel, CBO, 0.0, 1, 
53, SortedMapListModel, LOCNAMM, 87.0, 1, 
53, SortedMapListModel, AMWNAMM, 1.61538461538462, 1, 
53, SortedMapListModel, DIT, 2.0, 1, 
53, SortedMapListModel, RFC, 13.0, 1, 
53, SortedMapListModel, NOCS, 0.0, 1, 
53, SortedMapListModel, WOC, 1.0, 1, 
53, SortedMapListModel, ATFD, 0.0, 1, 
53, SortedMapListModel, AMW, 1.61538461538462, 1, 
53, SortedMapListModel, LCOM5, 0.166666666666667, 1, 
53, SortedMapListModel, NOAM, 0.0, 1, 
53, SortedMapListModel, NOPA, 0.0, 1, 
53, SortedMapListModel, NMO, 0.0, 1, 
53, SortedMapListModel, NIM, 7.0, 1, 
53, SortedMapListModel, NOC, 1.0, 1, 
68, WindowClosingAdapter, NOMNAMM, 3.0, 67, 
68, WindowClosingAdapter, NOM, 3.0, 67, 
68, WindowClosingAdapter, LOC, 30.0, 67, 
68, WindowClosingAdapter, WMCNAMM, 4.0, 67, 
68, WindowClosingAdapter, WMC, 4.0, 67, 
68, WindowClosingAdapter, NOA, 1.0, 67, 
68, WindowClosingAdapter, CFNAMM, 0.0, 67, 
68, WindowClosingAdapter, FANOUT, 0.0, 67, 
68, WindowClosingAdapter, NOII, 0.0, 67, 
68, WindowClosingAdapter, TCC, 1.0, 67, 
68, WindowClosingAdapter, CBO, 0.0, 67, 
68, WindowClosingAdapter, LOCNAMM, 30.0, 67, 
68, WindowClosingAdapter, AMWNAMM, 1.33333333333333, 67, 
68, WindowClosingAdapter, DIT, 2.0, 67, 
68, WindowClosingAdapter, RFC, 3.0, 67, 
68, WindowClosingAdapter, NOCS, 0.0, 67, 
68, WindowClosingAdapter, WOC, 1.0, 67, 
68, WindowClosingAdapter, ATFD, 0.0, 67, 
68, WindowClosingAdapter, AMW, 1.33333333333333, 67, 
68, WindowClosingAdapter, LCOM5, 1.0, 67, 
68, WindowClosingAdapter, NOAM, 0.0, 67, 
68, WindowClosingAdapter, NOPA, 0.0, 67, 
68, WindowClosingAdapter, NMO, 0.0, 67, 
68, WindowClosingAdapter, NIM, 10.0, 67, 
68, WindowClosingAdapter, NOC, 0.0, 67, 
73, ColumnWidthChangeListener, NOMNAMM, 1.0, 72, 
73, ColumnWidthChangeListener, NOM, 1.0, 72, 
73, ColumnWidthChangeListener, LOC, 7.0, 72, 
73, ColumnWidthChangeListener, WMCNAMM, 1.0, 72, 
73, ColumnWidthChangeListener, WMC, 1.0, 72, 
73, ColumnWidthChangeListener, NOA, 0.0, 72, 
73, ColumnWidthChangeListener, CFNAMM, 0.0, 72, 
73, ColumnWidthChangeListener, FANOUT, 0.0, 72, 
73, ColumnWidthChangeListener, NOII, 1.0, 72, 
73, ColumnWidthChangeListener, TCC, 1.0, 72, 
73, ColumnWidthChangeListener, CBO, 1.0, 72, 
73, ColumnWidthChangeListener, LOCNAMM, 7.0, 72, 
73, ColumnWidthChangeListener, AMWNAMM, 1.0, 72, 
73, ColumnWidthChangeListener, RFC, 1.0, 72, 
73, ColumnWidthChangeListener, NOCS, 0.0, 72, 
73, ColumnWidthChangeListener, WOC, 0.0, 72, 
73, ColumnWidthChangeListener, ATFD, 0.0, 72, 
73, ColumnWidthChangeListener, AMW, 1.0, 72, 
73, ColumnWidthChangeListener, LCOM5, 0.0, 72, 
73, ColumnWidthChangeListener, NOAM, 0.0, 72, 
73, ColumnWidthChangeListener, NOPA, 0.0, 72, 
73, ColumnWidthChangeListener, NOC, 0.0, 72, 
75, AttributeTableModel, NOMNAMM, 5.0, 72, 
75, AttributeTableModel, NOM, 7.0, 72, 
75, AttributeTableModel, LOC, 15.0, 72, 
75, AttributeTableModel, WMCNAMM, 5.0, 72, 
75, AttributeTableModel, WMC, 7.0, 72, 
75, AttributeTableModel, NOA, 0.0, 72, 
75, AttributeTableModel, CFNAMM, 0.0, 72, 
75, AttributeTableModel, FANOUT, 0.0, 72, 
75, AttributeTableModel, NOII, 1.0, 72, 
75, AttributeTableModel, TCC, 0.0, 72, 
75, AttributeTableModel, CBO, 1.0, 72, 
75, AttributeTableModel, LOCNAMM, 9.0, 72, 
75, AttributeTableModel, AMWNAMM, 1.0, 72, 
75, AttributeTableModel, RFC, 7.0, 72, 
75, AttributeTableModel, NOCS, 0.0, 72, 
75, AttributeTableModel, WOC, 0.0, 72, 
75, AttributeTableModel, ATFD, 0.0, 72, 
75, AttributeTableModel, AMW, 1.0, 72, 
75, AttributeTableModel, LCOM5, 0.0, 72, 
75, AttributeTableModel, NOAM, 2.0, 72, 
75, AttributeTableModel, NOPA, 0.0, 72, 
75, AttributeTableModel, NOC, 0.0, 72, 
83, NodeAttributeTableModel, NOMNAMM, 23.0, 72, 
83, NodeAttributeTableModel, NOM, 30.0, 72, 
83, NodeAttributeTableModel, LOC, 212.0, 72, 
83, NodeAttributeTableModel, WMCNAMM, 41.0, 72, 
83, NodeAttributeTableModel, WMC, 49.0, 72, 
83, NodeAttributeTableModel, NOA, 7.0, 72, 
83, NodeAttributeTableModel, CFNAMM, 656.0, 72, 
83, NodeAttributeTableModel, FANOUT, 10.0, 72, 
83, NodeAttributeTableModel, NOII, 1.0, 72, 
83, NodeAttributeTableModel, TCC, 0.217391304347826, 72, 
83, NodeAttributeTableModel, CBO, 11.0, 72, 
83, NodeAttributeTableModel, LOCNAMM, 167.0, 72, 
83, NodeAttributeTableModel, AMWNAMM, 1.78260869565217, 72, 
83, NodeAttributeTableModel, DIT, 2.0, 72, 
83, NodeAttributeTableModel, RFC, 56.0, 72, 
83, NodeAttributeTableModel, NOCS, 0.0, 72, 
83, NodeAttributeTableModel, WOC, 0.730769230769231, 72, 
83, NodeAttributeTableModel, ATFD, 11.0, 72, 
83, NodeAttributeTableModel, AMW, 1.63333333333333, 72, 
83, NodeAttributeTableModel, LCOM5, 0.896551724137931, 72, 
83, NodeAttributeTableModel, NOAM, 7.0, 72, 
83, NodeAttributeTableModel, NOPA, 0.0, 72, 
83, NodeAttributeTableModel, NMO, 0.0, 72, 
83, NodeAttributeTableModel, NIM, 16.0, 72, 
83, NodeAttributeTableModel, NOC, 0.0, 72, 
114, AttributeRegistryElement, NOMNAMM, 8.0, 72, 
114, AttributeRegistryElement, NOM, 17.0, 72, 
114, AttributeRegistryElement, LOC, 129.0, 72, 
114, AttributeRegistryElement, WMCNAMM, 11.0, 72, 
114, AttributeRegistryElement, WMC, 22.0, 72, 
114, AttributeRegistryElement, NOA, 7.0, 72, 
114, AttributeRegistryElement, CFNAMM, 346.0, 72, 
114, AttributeRegistryElement, FANOUT, 4.0, 72, 
114, AttributeRegistryElement, NOII, 0.0, 72, 
114, AttributeRegistryElement, TCC, 0.291666666666667, 72, 
114, AttributeRegistryElement, CBO, 5.0, 72, 
114, AttributeRegistryElement, LOCNAMM, 73.0, 72, 
114, AttributeRegistryElement, AMWNAMM, 1.375, 72, 
114, AttributeRegistryElement, DIT, 1.0, 72, 
114, AttributeRegistryElement, RFC, 32.0, 72, 
114, AttributeRegistryElement, NOCS, 1.0, 72, 
114, AttributeRegistryElement, WOC, 0.615384615384615, 72, 
114, AttributeRegistryElement, ATFD, 5.0, 72, 
114, AttributeRegistryElement, AMW, 1.29411764705882, 72, 
114, AttributeRegistryElement, LCOM5, 0.839285714285714, 72, 
114, AttributeRegistryElement, NOAM, 9.0, 72, 
114, AttributeRegistryElement, NOPA, 0.0, 72, 
114, AttributeRegistryElement, NMO, 0.0, 72, 
114, AttributeRegistryElement, NIM, 0.0, 72, 
114, AttributeRegistryElement, NOC, 0.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, NOMNAMM, 8.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, NOM, 8.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, LOC, 28.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, WMCNAMM, 8.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, WMC, 8.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, NOA, 0.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, CFNAMM, 81.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, FANOUT, 2.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, NOII, 0.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, TCC, 0.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, CBO, 4.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, LOCNAMM, 28.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, AMWNAMM, 1.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, DIT, 4.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, RFC, 26.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, NOCS, 0.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, WOC, 1.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, ATFD, 2.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, AMW, 1.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, LCOM5, 0.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, NOAM, 0.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, NOPA, 0.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, NMO, 3.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, NIM, 18.0, 72, 
132, AttributeRegistryElement.RegisteredAttributeValues, NOC, 0.0, 72, 
142, ColumnWidthChangeEvent, NOMNAMM, 1.0, 72, 
142, ColumnWidthChangeEvent, NOM, 2.0, 72, 
142, ColumnWidthChangeEvent, LOC, 13.0, 72, 
142, ColumnWidthChangeEvent, WMCNAMM, 1.0, 72, 
142, ColumnWidthChangeEvent, WMC, 2.0, 72, 
142, ColumnWidthChangeEvent, NOA, 1.0, 72, 
142, ColumnWidthChangeEvent, CFNAMM, 0.0, 72, 
142, ColumnWidthChangeEvent, FANOUT, 0.0, 72, 
142, ColumnWidthChangeEvent, NOII, 0.0, 72, 
142, ColumnWidthChangeEvent, TCC, 1.0, 72, 
142, ColumnWidthChangeEvent, CBO, 0.0, 72, 
142, ColumnWidthChangeEvent, LOCNAMM, 8.0, 72, 
142, ColumnWidthChangeEvent, AMWNAMM, 1.0, 72, 
142, ColumnWidthChangeEvent, DIT, 2.0, 72, 
142, ColumnWidthChangeEvent, RFC, 2.0, 72, 
142, ColumnWidthChangeEvent, NOCS, 0.0, 72, 
142, ColumnWidthChangeEvent, WOC, 0.5, 72, 
142, ColumnWidthChangeEvent, ATFD, 0.0, 72, 
142, ColumnWidthChangeEvent, AMW, 1.0, 72, 
142, ColumnWidthChangeEvent, LCOM5, 1.0, 72, 
142, ColumnWidthChangeEvent, NOAM, 1.0, 72, 
142, ColumnWidthChangeEvent, NOPA, 0.0, 72, 
142, ColumnWidthChangeEvent, NMO, 0.0, 72, 
142, ColumnWidthChangeEvent, NIM, 2.0, 72, 
142, ColumnWidthChangeEvent, NOC, 0.0, 72, 
145, AttributeRegistry, NOMNAMM, 34.0, 72, 
145, AttributeRegistry, NOM, 47.0, 72, 
145, AttributeRegistry, LOC, 373.0, 72, 
145, AttributeRegistry, WMCNAMM, 60.0, 72, 
145, AttributeRegistry, WMC, 77.0, 72, 
145, AttributeRegistry, NOA, 16.0, 72, 
145, AttributeRegistry, CFNAMM, 1556.0, 72, 
145, AttributeRegistry, FANOUT, 11.0, 72, 
145, AttributeRegistry, NOII, 0.0, 72, 
145, AttributeRegistry, TCC, 0.0952380952380952, 72, 
145, AttributeRegistry, CBO, 15.0, 72, 
145, AttributeRegistry, LOCNAMM, 277.0, 72, 
145, AttributeRegistry, AMWNAMM, 1.76470588235294, 72, 
145, AttributeRegistry, DIT, 1.0, 72, 
145, AttributeRegistry, RFC, 89.0, 72, 
145, AttributeRegistry, NOCS, 0.0, 72, 
145, AttributeRegistry, WOC, 0.72093023255814, 72, 
145, AttributeRegistry, ATFD, 12.0, 72, 
145, AttributeRegistry, AMW, 1.63829787234043, 72, 
145, AttributeRegistry, LCOM5, 0.956521739130435, 72, 
145, AttributeRegistry, NOAM, 13.0, 72, 
145, AttributeRegistry, NOPA, 1.0, 72, 
145, AttributeRegistry, NMO, 0.0, 72, 
145, AttributeRegistry, NIM, 0.0, 72, 
145, AttributeRegistry, NOC, 0.0, 72, 
193, AttributeTableLayoutModel, NOMNAMM, 5.0, 72, 
193, AttributeTableLayoutModel, NOM, 8.0, 72, 
193, AttributeTableLayoutModel, LOC, 66.0, 72, 
193, AttributeTableLayoutModel, WMCNAMM, 8.0, 72, 
193, AttributeTableLayoutModel, WMC, 13.0, 72, 
193, AttributeTableLayoutModel, NOA, 8.0, 72, 
193, AttributeTableLayoutModel, CFNAMM, 8.0, 72, 
193, AttributeTableLayoutModel, FANOUT, 2.0, 72, 
193, AttributeTableLayoutModel, NOII, 0.0, 72, 
193, AttributeTableLayoutModel, TCC, 0.1, 72, 
193, AttributeTableLayoutModel, CBO, 2.0, 72, 
193, AttributeTableLayoutModel, LOCNAMM, 40.0, 72, 
193, AttributeTableLayoutModel, AMWNAMM, 1.6, 72, 
193, AttributeTableLayoutModel, DIT, 1.0, 72, 
193, AttributeTableLayoutModel, RFC, 10.0, 72, 
193, AttributeTableLayoutModel, NOCS, 0.0, 72, 
193, AttributeTableLayoutModel, WOC, 0.444444444444444, 72, 
193, AttributeTableLayoutModel, ATFD, 0.0, 72, 
193, AttributeTableLayoutModel, AMW, 1.625, 72, 
193, AttributeTableLayoutModel, LCOM5, 1.05357142857143, 72, 
193, AttributeTableLayoutModel, NOAM, 3.0, 72, 
193, AttributeTableLayoutModel, NOPA, 4.0, 72, 
193, AttributeTableLayoutModel, NMO, 0.0, 72, 
193, AttributeTableLayoutModel, NIM, 0.0, 72, 
193, AttributeTableLayoutModel, NOC, 0.0, 72, 
202, AttributeController, NOMNAMM, 14.0, 72, 
202, AttributeController, NOM, 14.0, 72, 
202, AttributeController, LOC, 31.0, 72, 
202, AttributeController, WMCNAMM, 14.0, 72, 
202, AttributeController, WMC, 14.0, 72, 
202, AttributeController, NOA, 0.0, 72, 
202, AttributeController, CFNAMM, 0.0, 72, 
202, AttributeController, FANOUT, 0.0, 72, 
202, AttributeController, NOII, 0.0, 72, 
202, AttributeController, TCC, 0.0, 72, 
202, AttributeController, CBO, 3.0, 72, 
202, AttributeController, LOCNAMM, 31.0, 72, 
202, AttributeController, AMWNAMM, 1.0, 72, 
202, AttributeController, RFC, 14.0, 72, 
202, AttributeController, NOCS, 0.0, 72, 
202, AttributeController, WOC, 0.0, 72, 
202, AttributeController, ATFD, 0.0, 72, 
202, AttributeController, AMW, 1.0, 72, 
202, AttributeController, LCOM5, 0.0, 72, 
202, AttributeController, NOAM, 0.0, 72, 
202, AttributeController, NOPA, 0.0, 72, 
202, AttributeController, NOC, 0.0, 72, 
217, Attribute, NOMNAMM, 4.0, 72, 
217, Attribute, NOM, 8.0, 72, 
217, Attribute, LOC, 37.0, 72, 
217, Attribute, WMCNAMM, 4.0, 72, 
217, Attribute, WMC, 8.0, 72, 
217, Attribute, NOA, 2.0, 72, 
217, Attribute, CFNAMM, 0.0, 72, 
217, Attribute, FANOUT, 0.0, 72, 
217, Attribute, NOII, 0.0, 72, 
217, Attribute, TCC, 0.6, 72, 
217, Attribute, CBO, 0.0, 72, 
217, Attribute, LOCNAMM, 17.0, 72, 
217, Attribute, AMWNAMM, 1.0, 72, 
217, Attribute, DIT, 1.0, 72, 
217, Attribute, RFC, 8.0, 72, 
217, Attribute, NOCS, 0.0, 72, 
217, Attribute, WOC, 0.5, 72, 
217, Attribute, ATFD, 0.0, 72, 
217, Attribute, AMW, 1.0, 72, 
217, Attribute, LCOM5, 0.714285714285714, 72, 
217, Attribute, NOAM, 4.0, 72, 
217, Attribute, NOPA, 0.0, 72, 
217, Attribute, NMO, 1.0, 72, 
217, Attribute, NIM, 0.0, 72, 
217, Attribute, NOC, 0.0, 72, 
226, AttributeRegistryComboBoxColumnModel, NOMNAMM, 10.0, 72, 
226, AttributeRegistryComboBoxColumnModel, NOM, 12.0, 72, 
226, AttributeRegistryComboBoxColumnModel, LOC, 99.0, 72, 
226, AttributeRegistryComboBoxColumnModel, WMCNAMM, 14.0, 72, 
226, AttributeRegistryComboBoxColumnModel, WMC, 16.0, 72, 
226, AttributeRegistryComboBoxColumnModel, NOA, 2.0, 72, 
226, AttributeRegistryComboBoxColumnModel, CFNAMM, 106.0, 72, 
226, AttributeRegistryComboBoxColumnModel, FANOUT, 2.0, 72, 
226, AttributeRegistryComboBoxColumnModel, NOII, 3.0, 72, 
226, AttributeRegistryComboBoxColumnModel, TCC, 0.4, 72, 
226, AttributeRegistryComboBoxColumnModel, CBO, 2.0, 72, 
226, AttributeRegistryComboBoxColumnModel, LOCNAMM, 88.0, 72, 
226, AttributeRegistryComboBoxColumnModel, AMWNAMM, 1.4, 72, 
226, AttributeRegistryComboBoxColumnModel, DIT, 2.0, 72, 
226, AttributeRegistryComboBoxColumnModel, RFC, 21.0, 72, 
226, AttributeRegistryComboBoxColumnModel, NOCS, 0.0, 72, 
226, AttributeRegistryComboBoxColumnModel, WOC, 0.833333333333333, 72, 
226, AttributeRegistryComboBoxColumnModel, ATFD, 0.0, 72, 
226, AttributeRegistryComboBoxColumnModel, AMW, 1.33333333333333, 72, 
226, AttributeRegistryComboBoxColumnModel, LCOM5, 0.681818181818182, 72, 
226, AttributeRegistryComboBoxColumnModel, NOAM, 2.0, 72, 
226, AttributeRegistryComboBoxColumnModel, NOPA, 0.0, 72, 
226, AttributeRegistryComboBoxColumnModel, NMO, 0.0, 72, 
226, AttributeRegistryComboBoxColumnModel, NIM, 7.0, 72, 
226, AttributeRegistryComboBoxColumnModel, NOC, 0.0, 72, 
239, AttributeRegistryTableModel, NOMNAMM, 14.0, 72, 
239, AttributeRegistryTableModel, NOM, 15.0, 72, 
239, AttributeRegistryTableModel, LOC, 134.0, 72, 
239, AttributeRegistryTableModel, WMCNAMM, 34.0, 72, 
239, AttributeRegistryTableModel, WMC, 40.0, 72, 
239, AttributeRegistryTableModel, NOA, 6.0, 72, 
239, AttributeRegistryTableModel, CFNAMM, 174.0, 72, 
239, AttributeRegistryTableModel, FANOUT, 3.0, 72, 
239, AttributeRegistryTableModel, NOII, 0.0, 72, 
