1, freemind.controller.filter.util, NOMNAMM, 47.0, 0, 
5497, plugins.collaboration.database, NOCS, 17.0, 0, 
5497, plugins.collaboration.database, NOI, 0.0, 0, 
5603, freemind.view, NOMNAMM, 3.0, 0, 
5603, freemind.view, NOM, 11.0, 0, 
5603, freemind.view, LOC, 70.0, 0, 
5603, freemind.view, NOCS, 1.0, 0, 
5603, freemind.view, NOI, 0.0, 0, 
5616, freemind.controller.filter, NOMNAMM, 60.0, 0, 
5616, freemind.controller.filter, NOM, 72.0, 0, 
5616, freemind.controller.filter, LOC, 1234.0, 0, 
5616, freemind.controller.filter, NOCS, 23.0, 0, 
5616, freemind.controller.filter, NOI, 1.0, 0, 
5760, freemind.modes.common, NOMNAMM, 12.0, 0, 
5760, freemind.modes.common, NOM, 12.0, 0, 
5760, freemind.modes.common, LOC, 237.0, 0, 
5760, freemind.modes.common, NOCS, 3.0, 0, 
5760, freemind.modes.common, NOI, 0.0, 0, 
5778, de.foltin, NOMNAMM, 10.0, 0, 
5778, de.foltin, NOM, 10.0, 0, 
5778, de.foltin, LOC, 658.0, 0, 
5778, de.foltin, NOCS, 13.0, 0, 
5778, de.foltin, NOI, 0.0, 0, 
5837, freemind.preferences.layout, NOMNAMM, 37.0, 0, 
5837, freemind.preferences.layout, NOM, 40.0, 0, 
5837, freemind.preferences.layout, LOC, 2462.0, 0, 
5837, freemind.preferences.layout, NOCS, 18.0, 0, 
5837, freemind.preferences.layout, NOI, 0.0, 0, 
5940, freemind.modes.mindmapmode.attributeactors, NOMNAMM, 132.0, 0, 
5940, freemind.modes.mindmapmode.attributeactors, NOM, 136.0, 0, 
5940, freemind.modes.mindmapmode.attributeactors, LOC, 2362.0, 0, 
5940, freemind.modes.mindmapmode.attributeactors, NOCS, 57.0, 0, 
5940, freemind.modes.mindmapmode.attributeactors, NOI, 1.0, 0, 
6236, freemind.modes.mindmapmode, NOMNAMM, 198.0, 0, 
6236, freemind.modes.mindmapmode, NOM, 240.0, 0, 
6236, freemind.modes.mindmapmode, LOC, 4223.0, 0, 
6236, freemind.modes.mindmapmode, NOCS, 38.0, 0, 
6236, freemind.modes.mindmapmode, NOI, 0.0, 0, 
6584, plugins.script, NOMNAMM, 55.0, 0, 
6584, plugins.script, NOM, 56.0, 0, 
6584, plugins.script, LOC, 1305.0, 0, 
6584, plugins.script, NOCS, 28.0, 0, 
6584, plugins.script, NOI, 0.0, 0, 
6743, plugins.latex, NOMNAMM, 14.0, 0, 
6743, plugins.latex, NOM, 18.0, 0, 
6743, plugins.latex, LOC, 157.0, 0, 
6743, plugins.latex, NOCS, 2.0, 0, 
6743, plugins.latex, NOI, 0.0, 0, 
6764, freemind.modes.filemode, NOMNAMM, 39.0, 0, 
6764, freemind.modes.filemode, NOM, 44.0, 0, 
6764, freemind.modes.filemode, LOC, 421.0, 0, 
6764, freemind.modes.filemode, NOCS, 9.0, 0, 
6764, freemind.modes.filemode, NOI, 0.0, 0, 
6822, freemind.modes.mindmapmode.hooks, NOMNAMM, 23.0, 0, 
6822, freemind.modes.mindmapmode.hooks, NOM, 26.0, 0, 
6822, freemind.modes.mindmapmode.hooks, LOC, 391.0, 0, 
6822, freemind.modes.mindmapmode.hooks, NOCS, 5.0, 0, 
6822, freemind.modes.mindmapmode.hooks, NOI, 0.0, 0, 
6856, tests.freemind.findreplace, NOMNAMM, 92.0, 0, 
6856, tests.freemind.findreplace, NOM, 117.0, 0, 
6856, tests.freemind.findreplace, LOC, 565.0, 0, 
6856, tests.freemind.findreplace, NOCS, 4.0, 0, 
6856, tests.freemind.findreplace, NOI, 0.0, 0, 
6986, plugins.collaboration.jabber, NOMNAMM, 1.0, 0, 
6986, plugins.collaboration.jabber, NOM, 1.0, 0, 
6986, plugins.collaboration.jabber, LOC, 13.0, 0, 
6986, plugins.collaboration.jabber, NOCS, 1.0, 0, 
6986, plugins.collaboration.jabber, NOI, 0.0, 0, 
6989, plugins.collaboration.jabber.mindmap, NOMNAMM, 15.0, 0, 
6989, plugins.collaboration.jabber.mindmap, NOM, 23.0, 0, 
6989, plugins.collaboration.jabber.mindmap, LOC, 884.0, 0, 
6989, plugins.collaboration.jabber.mindmap, NOCS, 10.0, 0, 
6989, plugins.collaboration.jabber.mindmap, NOI, 0.0, 0, 
7058, plugins.collaboration.jabber.view, NOMNAMM, 33.0, 0, 
7058, plugins.collaboration.jabber.view, NOM, 33.0, 0, 
7058, plugins.collaboration.jabber.view, LOC, 730.0, 0, 
7058, plugins.collaboration.jabber.view, NOCS, 2.0, 0, 
7058, plugins.collaboration.jabber.view, NOI, 0.0, 0, 
7094, freemind.modes.common.actions, NOMNAMM, 11.0, 0, 
7094, freemind.modes.common.actions, NOM, 13.0, 0, 
7094, freemind.modes.common.actions, LOC, 276.0, 0, 
7094, freemind.modes.common.actions, NOCS, 3.0, 0, 
7094, freemind.modes.common.actions, NOI, 0.0, 0, 
7113, freemind.modes.common.plugins, NOMNAMM, 9.0, 0, 
7113, freemind.modes.common.plugins, NOM, 16.0, 0, 
7113, freemind.modes.common.plugins, LOC, 229.0, 0, 
7113, freemind.modes.common.plugins, NOCS, 6.0, 0, 
7113, freemind.modes.common.plugins, NOI, 0.0, 0, 
7144, accessories.plugins.util.html, NOMNAMM, 4.0, 0, 
7144, accessories.plugins.util.html, NOM, 4.0, 0, 
7144, accessories.plugins.util.html, LOC, 101.0, 0, 
7144, accessories.plugins.util.html, NOCS, 2.0, 0, 
7144, accessories.plugins.util.html, NOI, 0.0, 0, 
7152, accessories.plugins.util.xslt, NOMNAMM, 7.0, 0, 
7152, accessories.plugins.util.xslt, NOM, 7.0, 0, 
7152, accessories.plugins.util.xslt, LOC, 267.0, 0, 
7152, accessories.plugins.util.xslt, NOCS, 4.0, 0, 
7152, accessories.plugins.util.xslt, NOI, 0.0, 0, 
7167, plugins.svg, NOMNAMM, 4.0, 0, 
7167, plugins.svg, NOM, 4.0, 0, 
7167, plugins.svg, LOC, 153.0, 0, 
7167, plugins.svg, NOCS, 3.0, 0, 
7167, plugins.svg, NOI, 0.0, 0, 
7175, freemind.modes.viewmodes, NOMNAMM, 9.0, 0, 
7175, freemind.modes.viewmodes, NOM, 11.0, 0, 
7175, freemind.modes.viewmodes, LOC, 132.0, 0, 
7175, freemind.modes.viewmodes, NOCS, 3.0, 0, 
7175, freemind.modes.viewmodes, NOI, 0.0, 0, 
7192, plugins.help, NOMNAMM, 1.0, 0, 
7192, plugins.help, NOM, 1.0, 0, 
7192, plugins.help, LOC, 27.0, 0, 
7192, plugins.help, NOCS, 1.0, 0, 
7192, plugins.help, NOI, 0.0, 0, 
7195, freemind.modes.mindmapmode.dialogs, NOMNAMM, 11.0, 0, 
7195, freemind.modes.mindmapmode.dialogs, NOM, 18.0, 0, 
7195, freemind.modes.mindmapmode.dialogs, LOC, 614.0, 0, 
7195, freemind.modes.mindmapmode.dialogs, NOCS, 6.0, 0, 
7195, freemind.modes.mindmapmode.dialogs, NOI, 0.0, 0, 
