ID,Project,Package,Class,Method,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,NOII_class,NOAM_class,NOCS_class,NOM_class,NMO_class,ATFD_class,FANOUT_class,NOMNAMM_class,NOA_class,NIM_class,DIT_class,LOC_class,LOCNAMM_class,CFNAMM_class,TCC_class,NOPA_class,CBO_class,RFC_class,NOC_class,WMC_class,LCOM5_class,WOC_class,WMCNAMM_class,AMW_class,AMWNAMM_class,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,TestWindows
7550,jFin,org.jfin.date.holiday.financialcalendarimpl,InfoFileEntry,"InfoFileEntry(java.lang.String,java.lang.String,java.lang.String,java.lang.String,org.jfin.common.Iso3166Country,org.jfin.common.Iso4217Currency,java.lang.String,java.lang.String))",8.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,8.0,0.0,16.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,24.0,1.0,0.0,2.0,8.0,10.0,0.0,1.0,309.0,157.0,88.0,0.119047619047619,0.0,2.0,26.0,0.0,46.0,0.926086956521739,0.333333333333333,30.0,1.91666666666667,3.75,6.0,33.0,0.0,790.0,64.0,true
7276,jFin,org.jfin.date,ScheduleGenerator,"generateSchedule(java.util.Calendar,java.util.Calendar,java.util.Calendar,java.util.Calendar,java.util.Calendar,java.util.Calendar,java.util.Calendar,int,org.jfin.date.Period,java.util.Calendar,java.util.Calendar,int,org.jfin.date.StubType,int,org.jfin.date.Period,int,java.util.ArrayList,int))",7.0,0.0,9.0,2.0,0.0,5.0,176.0,23.0,0.0,18.0,0.0,32.0,0.1,3.0,6.0,1.0,0.0,7.0,0.0,0.428571428571429,0.0,0.0,0.0,18.0,0.0,13.0,5.0,18.0,1.0,0.0,1.0,538.0,538.0,104.0,0.0,0.0,6.0,31.0,0.0,45.0,1.0,1.0,45.0,2.5,2.5,10.0,60.0,1.0,1447.0,77.0,false
7786,jasml,com.jasml.classes,Attribute_Code,"Attribute_Code(int,Opcode[],Attribute[],ExceptionTableItem[],int,int,int,int,int))",9.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,0.0,9.0,0.0,18.0,0.888888888888889,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,76.0,76.0,8.0,1.0,8.0,2.0,3.0,0.0,2.0,2.0,0.2,2.0,1.0,1.0,32.0,40.0,0.0,1690.0,42.0,true
7275,jFin,org.jfin.date,ScheduleGenerator,"generateSchedule(java.util.Calendar,int,java.util.Calendar,org.jfin.date.StubType,int,org.jfin.date.Period))",6.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,13.0,5.0,18.0,1.0,0.0,1.0,538.0,538.0,104.0,0.0,0.0,6.0,31.0,0.0,45.0,1.0,1.0,45.0,2.5,2.5,10.0,60.0,1.0,1447.0,77.0,false
7303,jFin,org.jfin.date,TypedScheduleGenerator,"createPeriod(boolean,java.util.Calendar,java.util.Calendar,java.util.Calendar,java.util.Calendar,org.jfin.date.Initialisable,org.jfin.date.Period))",5.0,1.0,4.0,1.0,1.0,2.0,20.0,3.0,0.0,7.0,0.0,15.0,0.0,3.0,4.0,0.0,0.0,6.0,0.0,0.5,0.0,2.0,0.0,17.0,0.0,14.0,7.0,15.0,2.0,0.0,1.0,203.0,193.0,306.0,0.0,0.0,7.0,31.0,0.0,36.0,1.0625,0.818181818181818,34.0,2.11764705882353,2.26666666666667,10.0,60.0,1.0,1447.0,77.0,true
7718,jasml,com.jasml.classes,Constant_Utf8,"toString())",0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,12.0,12.0,5.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,0.666666666666667,2.0,1.0,1.0,32.0,40.0,0.0,1690.0,42.0,true
7741,jasml,com.jasml.classes,Constant_Double,"Constant_Double(double))",1.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,3.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,11.0,11.0,5.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,0.666666666666667,2.0,1.0,1.0,32.0,40.0,0.0,1690.0,42.0,false
8021,jasml,(defaultpackage),jasml,"processDir(java.io.File,File[],java.io.File,int))",1.0,0.0,0.0,0.0,0.0,3.0,12.0,8.0,0.0,4.0,0.0,7.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,8.0,9.0,0.0,1.0,204.0,204.0,90.0,1.0,8.0,7.0,18.0,0.0,49.0,0.857142857142857,0.111111111111111,49.0,6.125,6.125,1.0,8.0,0.0,204.0,8.0,true
829,freemind,freemind.modes,StylePatternFactory,"processPatternProperties(freemind.controller.actions.generated.instance.PatternPropertyBase,freemind.controller.actions.generated.instance.PatternPropertyBase,freemind.controller.actions.generated.instance.PatternPropertyBase))",3.0,0.0,0.0,0.0,0.0,2.0,11.0,4.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,2.0,6.0,12.0,4.0,0.0,1.0,227.0,227.0,456.0,0.0,2.0,7.0,32.0,0.0,35.0,1.0,0.818181818181818,35.0,2.91666666666667,2.91666666666667,34.0,523.0,11.0,6037.0,728.0,true
6497,freemind,freemind.modes.mindmapmode,MindMapNodeModel,"saveChildrenRTF(java.util.HashMap,int,java.io.Writer,java.util.ListIterator,freemind.modes.mindmapmode.MindMapNodeModel))",3.0,0.0,0.0,0.0,0.0,3.0,12.0,3.0,0.0,5.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,2.0,10.0,0.0,115.0,2.0,193.0,193.0,142.0,0.0,0.0,30.0,195.0,1.0,35.0,0.0,1.0,35.0,3.5,3.5,38.0,198.0,0.0,4223.0,240.0,false
