ID,Project,Package,Class,Method,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,NOII_class,NOAM_class,NOCS_class,NOM_class,NMO_class,ATFD_class,FANOUT_class,NOMNAMM_class,NOA_class,NIM_class,DIT_class,LOC_class,LOCNAMM_class,CFNAMM_class,TCC_class,NOPA_class,CBO_class,RFC_class,NOC_class,WMC_class,LCOM5_class,WOC_class,WMCNAMM_class,AMW_class,AMWNAMM_class,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,TestMethod
7752,jasml,com.jasml.classe,Attribute_Cod,"Attribute_Code(int,int,int,int,int,Opcode[],ExceptionTableItem[],Attribute[],int)",9.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,0.0,9.0,0.0,18.0,0.888888888888889,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,76.0,76.0,8.0,1.0,8.0,2.0,3.0,0.0,2.0,2.0,0.2,2.0,1.0,1.0,32.0,40.0,0.0,1690.0,42.0,false
7313,jFin,org.jfin.date.daycount.defaultimp,EU3036,"calculateDaycountFraction(int,java.util.Calendar,int,java.util.Calendar,int,java.util.Calendar,int,int,int,int)",2.0,0.0,0.0,0.0,0.0,2.0,37.0,5.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,2.0,52.0,52.0,0.0,0.0,0.0,1.0,10.0,0.0,6.0,1.0,1.0,6.0,3.0,3.0,11.0,35.0,0.0,809.0,37.0,true
7433,jFin,org.jfin.dat,ScheduleCutte,"cutScheduleByDates(java.util.List,java.util.List,int,org.jfin.date.Period,java.util.List,org.jfin.date.Period,org.jfin.date.Period)",2.0,1.0,4.0,2.0,1.0,3.0,29.0,4.0,0.0,7.0,0.0,11.0,0.0,3.0,4.0,0.0,0.0,4.0,0.0,0.75,0.0,0.0,0.0,4.0,0.0,4.0,5.0,4.0,2.0,0.0,1.0,107.0,107.0,52.0,0.0,0.0,5.0,12.0,0.0,12.0,1.33333333333333,1.0,12.0,3.0,3.0,10.0,60.0,1.0,1447.0,77.0,false
8004,jasml,com.jasml.helpe,Uti,"parseViewableString(int,int,java.lang.String,int,java.lang.StringBuffer,char)",1.0,1.0,0.0,0.0,3.0,4.0,56.0,12.0,0.0,6.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,22.0,0.0,24.0,2.0,0.0,1.0,669.0,669.0,0.0,0.0,2.0,1.0,24.0,0.0,251.0,1.0,0.923076923076923,251.0,10.4583333333333,10.4583333333333,5.0,33.0,0.0,943.0,34.0,true
8003,jasml,com.jasml.helpe,Uti,"getUnicodeChar(char)",1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,22.0,0.0,24.0,2.0,0.0,1.0,669.0,669.0,0.0,0.0,2.0,1.0,24.0,0.0,251.0,1.0,0.923076923076923,251.0,10.4583333333333,10.4583333333333,5.0,33.0,0.0,943.0,34.0,false
8196,jasml_2,com.jasml.compile,Scanne,"skipSpaces(char)",0.0,0.0,0.0,0.0,0.0,2.0,10.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,32.0,0.0,2.0,1.0,24.0,11.0,0.0,1.0,590.0,550.0,72.0,0.191666666666667,0.0,3.0,34.0,0.0,174.0,0.777126099706745,0.578947368421053,166.0,5.4375,6.91666666666667,8.0,97.0,1.0,2639.0,106.0,true
8048,jasml_2,com.jasml.classe,Constant_Methodre,"toString()",0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,14.0,14.0,5.0,1.0,2.0,2.0,3.0,0.0,2.0,1.0,0.5,2.0,1.0,1.0,32.0,40.0,0.0,1690.0,42.0,false
7160,freemind,freemind.modes.mindmapmode.actions.xm,NodeHookUndoableContentActo,"findHook(java.lang.String,freemind.modes.MindMapNode,java.util.Iterator,freemind.extensions.PermanentNodeHook,freemind.extensions.StatefulNodeHook)",2.0,0.0,0.0,0.0,0.0,3.0,11.0,4.0,0.0,5.0,0.0,5.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,9.0,0.0,1.0,8.0,8.0,2.0,0.0,1.0,72.0,67.0,168.0,0.0,0.0,9.0,23.0,0.0,15.0,1.0,0.857142857142857,14.0,1.66666666666667,1.75,7.0,47.0,3.0,439.0,53.0,true
64,freemind,tests.freemin,FreeMindMainMoc,"getIntProperty(java.lang.String,int)",2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,40.0,0.0,0.0,3.0,34.0,1.0,0.0,1.0,167.0,140.0,264.0,0.00134952766531714,0.0,7.0,44.0,0.0,40.0,0.974358974358974,0.85,34.0,1.0,1.0,22.0,170.0,0.0,1680.0,187.0,false
8051,jasml_2,com.jasml.classe,Attribute_Cod,"Attribute_Code(Opcode[],int,int,int,Attribute[],int,ExceptionTableItem[],int,int)",9.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,0.0,9.0,0.0,18.0,0.888888888888889,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,76.0,76.0,8.0,1.0,8.0,2.0,3.0,0.0,2.0,2.0,0.2,2.0,1.0,1.0,32.0,40.0,0.0,1690.0,42.0,true
